type,doi,title,journal,year
OA(可免费),10.1016/j.idm.2026.06.001,Stochastic threshold dynamics of an HIV model with latent cell activation under,,
OA(可免费),10.1016/j.indcrop.2026.123709,O-methylated catechins in tea plant (Camellia sinensis): From biological activit,,
OA(可免费),10.1016/j.indcrop.2026.123712,"NtPNRF1, a novel gene regulating photosynthesis and flavonoid biosynthesis in Ni",,
OA(可免费),10.1016/j.indcrop.2026.123963,CsPPR203 regulates plastid RNA editing to mediate yellowish/albino leaf phenotyp,,
OA(可免费),10.1016/j.inffus.2026.104518,A brain-inspired low-light and infrared multimodal remote sensing detection netw,,
OA(可免费),10.1016/j.isci.2026.115885,Unbiased CRISPR synthetic lethal screening for genetic vulnerabilities in a succ,,
OA(可免费),10.1016/j.isci.2026.116452,Tandem single-cell epigenetic and transcriptomic analysis reveals spatiotemporal,,
OA(可免费),10.1016/j.isci.2026.116870,A single-cell transcriptomic atlas of peripheral blood immune cells spanning pro,,
OA(可免费),10.1016/j.jenvman.2026.130244,Lipid biosynthesis from HTC-AP of sewage sludge using engineered Yarrowia lipoly,,
OA(可免费),10.1016/j.jep.2026.121856,Integrated multi-omics analysis unveils biochemical mechanism of a triterpenoid-,,
OA(可免费),10.1016/j.jep.2026.121953,Systemic and topical use of herbal drugs vary by plant organ and chemosensory pr,,
OA(可免费),10.1016/j.jep.2026.121993,Corrigendum to “Integrated multi-omics analysis unveils biochemical mechanism of,,
OA(可免费),10.1016/j.jep.2026.122197,Guizhi Wuling Decoction alleviates myocardial fibrosis by restoring mitochondria,,
OA(可免费),10.1016/j.jevs.2026.106054,Molecular detection of Toxoplasma gondii in an aborted equine fetus and serologi,,
OA(可免费),10.1016/j.jfoodeng.2026.113149,Tribo-electrostatic separation of rice bran protein at distinctive pH: Where sur,,
OA(可免费),10.1016/j.jfutfo.2024.11.021,Light-stable carboxymethyl cellulose-based smart packaging film for real-time vi,,
OA(可免费),10.1016/j.jfutfo.2024.11.022,Multi-omics analysis reveals the anti-obesity and hepatoprotective properties of,,
OA(可免费),10.1016/j.jfutfo.2024.11.024,"Biological functions, synthetic biology strategies, and application prospects of",,
OA(可免费),10.1016/j.jfutfo.2025.02.011,Discovery of novel key non-volatile metabolites linked to Lactiplantibacillus pl,,
OA(可免费),10.1016/j.jfutfo.2025.07.011,Improving physicochemical and sensory properties of plant-based meat patties wit,,
OA(可免费),10.1016/j.jfutfo.2025.08.007,New insights into the improvement of static magnetic field on α-amylase activity,,
OA(可免费),10.1016/j.jia.2026.06.001,Unraveling the molecular and metabolic mechanisms of 6-benzylaminopurine-mediate,,
OA(可免费),10.1016/j.jshs.2025.101098,Human development and gender inequality are associated with cardiorespiratory fi,,
OA(可免费),10.1016/j.jshs.2025.101099,Associations of accelerometer-measured light-intensity physical activity with mo,,
OA(可免费),10.1016/j.jxh.2026.100008,Modulating terpenoid biosynthesis in mint (Mentha spicata L.) through the applic,,
OA(可免费),10.1016/j.marpolbul.2026.119965,In situ experimental evidence of the effects of commercial sunscreens and their,,
OA(可免费),10.1016/j.mec.2026.e00286,"Reconstituting a two-step pathway for N,N-dimethyltryptamine (DMT) biosynthesis",,
OA(可免费),10.1016/j.micres.2026.128562,Mutualistic interaction between Herbaspirillum seropedicae and Trichoderma longi,,
OA(可免费),10.1016/j.mores.2026.100003,Recent research progress of plant-derived chlorogenic acid in cancer therapy: An,,
OA(可免费),10.1016/j.napere.2026.100212,Seed biopriming with Trichoderma-secondary metabolites promotes plant growth and,,
OA(可免费),10.1016/j.ncrops.2025.100089,Establishment and optimization of CUT&amp;Tag for identifying transcription fact,,
OA(可免费),10.1016/j.nonrwa.2026.104700,The role of dormancy in survival under periodic stress: A delayed chemostat mode,,
OA(可免费),10.1016/j.nxnano.2026.100562,Engineering cellulose nanocrystals from plant waste biomass as next-generation f,,
OA(可免费),10.1016/j.pce.2026.104578,Analysis of the standardized precipitation index and its impact on drought hydro,,
OA(可免费),10.1016/j.phage.2026.100005,"Enhanced suppression of Pseudomonas coronafaciens pv. garcae, the etiological ag",,
OA(可免费),10.1016/j.phrs.2026.108350,Oleoylethanolamide attenuates early skeletal muscle metabolic remodeling induced,,
OA(可免费),10.1016/j.plantsci.2026.113157,Effects of loss of CO<sub>2</sub>-Responsive CCT Protein interaction with 14-3-3,,
OA(可免费),10.1016/j.plantsci.2026.113196,Predictive models for phenotyping and classification of wheat cultivar viability,,
OA(可免费),10.1016/j.plantsci.2026.113214,Physiological and agronomic responses of cucurbit crops to drought and combined,,
OA(可免费),10.1016/j.plantsci.2026.113266,"Role of plant nutritional balance under combined abiotic stress conditions, and",,
OA(可免费),10.1016/j.plaphy.2026.111412,"PmTCP18, a class I TCP transcription factor from Prunus mume, regulates plant he",,
OA(可免费),10.1016/j.plaphy.2026.111468,The pentose phosphate pathway coordinates cytokinin homeostasis and CpG island m,,
OA(可免费),10.1016/j.plaphy.2026.111567,The auxin response factor PgARF19 directly activates PgFLP and PgPIN3 to regulat,,
OA(可免费),10.1016/j.precisioneng.2026.06.011,Photometrically robust Fourier light field microscopy measuring method using spa,,
OA(可免费),10.1016/j.psychres.2026.117277,Multi-omics integration identifies cell-type-specific CISD1 and QDPR as druggabl,,
OA(可免费),10.1016/j.pvmrsr.2026.100016,"Presence and diversity of Leptospira species and serogroups in domestic animals,",,
OA(可免费),10.1016/j.rama.2026.01.006,A Case for Vegetative Restoration via Sprigging as an Effective Restoration Tool,,
OA(可免费),10.1016/j.rama.2026.06.010,Evaluating Herbicide Combinations and Application Rates on Texas Pricklypear,,
OA(可免费),10.1016/j.ress.2026.112987,A Petri Net-based asset management model for polymer electrolyte membrane electr,,
OA(可免费),10.1016/j.rineng.2026.111675,Tracking microfibres along the sludge line of a full-scale wastewater treatment,,
OA(可免费),10.1016/j.semcdb.2026.103686,Multiscale biophysical control of epithelial shape transitions during animal dev,,
OA(可免费),10.1016/j.supmat.2025.100121,Light-triggered one-pot synthesis of covalent-supramolecular double network elas,,
OA(可免费),10.1016/j.supmat.2026.100139,Single-molecule studies reveal that the Ca2+ ions form maximum bridges with poly,,
OA(可免费),10.1016/j.synbio.2026.04.010,Metabolic engineering of Saccharomyces cerevisiae for co-production of ergothion,,
OA(可免费),10.1016/j.synbio.2026.04.021,High-level amyrin production in Yarrowia lipolytica via metabolic and enzyme eng,,
OA(可免费),10.1016/j.synbio.2026.04.023,Unconditional de novo generation and functional validation of synthetic promoter,,
OA(可免费),10.1016/j.synbio.2026.04.031,The acetylation mechanism and engineering strategy of isocitrate lyase for optim,,
OA(可免费),10.1016/j.synbio.2026.04.041,Metabolic engineering of Vibrio natriegens for the efficient biosynthesis of erg,,
OA(可免费),10.1016/j.synbio.2026.05.002,"De novo production of (−)-limonene, (−)-carveol and (−)-carvone via engineering",,
OA(可免费),10.1016/j.synbio.2026.05.011,Metabolic engineering of Escherichia coli based on adaptive evolution and omics,,
OA(可免费),10.1016/j.synbio.2026.05.012,Systematic enzyme and cofactor engineering for efficient ursolic acid biosynthes,,
OA(可免费),10.1016/j.synbio.2026.05.015,Improved catalytic efficiency of P450 OleP for converting lithocholic acid into,,
OA(可免费),10.1016/j.synbio.2026.06.006,"Characterization of OsNrx3i1, the first intron of rice OsNrx3 gene, as a candida",,
OA(可免费),10.1016/j.synbio.2026.06.007,Engineering short-sequence elements for condensate-like assemblies by de novo de,,
OA(可免费),10.1016/j.talanta.2026.130276,MgFe2O4/graphene nanocomposites for bifunctional wastewater remediation: A criti,,
OA(可免费),10.1016/j.tbs.2026.101299,From anxiety to advantage: a multi-year longitudinal evidence of behavioral and,,
OA(可免费),10.1016/j.tourman.2026.105498,Going beyond a stress reliever: A human-supported mindfulness intervention enhan,,
OA(可免费),10.1016/j.toxrep.2026.102308,Multi-omics integration deciphers arsenic-induced multi-organ toxicity and the n,,
OA(可免费),10.1016/j.tranon.2026.102850,The PI3K/AKT signaling networks in cancer glucose metabolism: mechanisms and the,,
OA(可免费),10.1016/j.tranon.2026.102853,Integrative single-cell and spatial transcriptomics analysis reveals a baicalein,,
OA(可免费),10.1016/j.uncres.2026.100457,Nanoparticle-assisted enzymatic pretreatment enhances biomethane recovery and te,,
OA(可免费),10.1016/j.watbs.2025.100529,Temporal hedonic regulation of feeding behavior in rainbow trout: a role for the,,
OA(可免费),10.1021/acs.jcim.6c00859,AI-Enforced Ultra-Large Virtual Screening Discovers Potent CD28 Binders,,
OA(可免费),10.1021/acs.jmedchem.5c03448,Mechanistic Exploration of Half-Sandwich Iridium(III) Anticancer Compounds throu,,
OA(可免费),10.1021/acs.jmedchem.6c01988,Drug Discovery of Allosteric Molecular Glue Degraders (aMGDs): Expanding the Lan,,
OA(可免费),10.1021/acs.jpclett.6c01344,Mapping the Binding Landscape of Allosteric Inhibitor G6PDi-1 on Human G6PD,,
OA(可免费),10.1021/acsapm.6c01102,Solution Blow Spinning of Programmable Biofunctionalized Polymer Fibers,,
OA(可免费),10.1021/acsinfecdis.6c00340,Synthesis of 4-Aminoindole-Containing Cephalosporin Prodrugs and Their Biologica,,
OA(可免费),10.1021/acsomega.5c13275,Plant-Microbe-Assisted Approaches for Remediating Heavy Metals and Organic Pollu,,
OA(可免费),10.1021/acsomega.6c00213,Effects of Water Deficit and GABA-Containing Biostimulant on Maize Plants: Nonde,,
OA(可免费),10.1021/jacsau.6c00381,<i>cis</i> -Selective Direct Halocyclopropanation of Alkenes Mediated by Nucleop,,
OA(可免费),10.1038/d41586-026-02240-x,Fly neurons carry a molecular ‘timestamp’ that encodes their birth order,,
OA(可免费),10.1038/s41388-026-03899-2,KLF12-mediated suppression of androgen receptor accelerates metastasis in endome,,
OA(可免费),10.1038/s41419-026-09011-6,AARS1-catalyzed H4K12 lactylation promotes HCC resistance to targeted therapy by,,
OA(可免费),10.1038/s41467-026-73996-z,Genetic architecture of white matter microstructure captured by unsupervised dee,,
OA(可免费),10.1038/s41467-026-74048-2,Chromobox 3 assembles an epigenetic complex contributing to cystathionine γ-lyas,,
OA(可免费),10.1038/s41467-026-74446-6,Epigenetic compartmentalization of mitotic chromosomes by phase-separation-drive,,
OA(可免费),10.1038/s41467-026-75623-3,Dysregulated differentiation kinetics underlie the essential role of DNA damage,,
OA(可免费),10.1038/s41522-026-01100-w,Vaginal resistome redundancy is associated with microbial metabolic potential an,,
OA(可免费),10.1038/s41556-026-02027-2,Mapping mesenchymal diversity in the human small intestine and organoids,,
OA(可免费),10.1038/s41586-026-10797-w,A global molecular code for birth order and neuronal identity in Drosophila,,
OA(可免费),10.1038/s41598-026-54083-1,Stable state of hepatocyte chromatin during hepatitis B virus infection,,
OA(可免费),10.1038/s42003-026-10432-4,Neofunctionalization of H1 linker histones drives divergent gene expression and,,
OA(可免费),10.1042/ebc20250050,Plant defence priming and memory mechanisms under climate change,,
OA(可免费),10.1051/bioconf/202624600006/pdf,Preliminary assessment: Colchicine-induced mutants of wild,,
OA(可免费),10.1055/s-0046-1824454,Congenital Sideroblastic Anemia with Persistent Neutropenia in a Female Infant:,,
OA(可免费),10.1061/jccee5.cpeng-6877,Data-Driven Look-Ahead Planning: Automating Task Completion Rate Estimation in C,,
OA(可免费),10.1073/pnas.2522063123,Growth under pressure: The pros and cons of polyploidy induced by stress,,
OA(可免费),10.1073/pnas.2537088123,"Terephthalate, a plastic monomer, triggers phosphate metabolism rewiring in yeas",,
OA(可免费),10.1080/07853890.2026.2680845,Efficacy of atopic dermatitis alleviation through transcutaneous auricular vagus,,
OA(可免费),10.1080/10242694.2026.2714097,The Northern Ethiopia War and the persistence of internal displacement: subnatio,,
OA(可免费),10.1080/14756366.2026.2678755,Lidocaine enhances antitumor effects of sorafenib and GW5074 in colorectal cance,,
OA(可免费),10.1080/15592324.2026.2684157,Postharvest preservation of fruits and vegetables by light-emitting diodes,,
OA(可免费),10.1080/15592324.2026.2684389,Active ROP2 triggers leaf senescence and orchestrates the growth-senescence trad,,
OA(可免费),10.1080/17501911.2026.2685054,Epigenetic regulation of nuclear mechanics,,
OA(可免费),10.1080/19490976.2026.2679497,Diet and microbiome shape small-molecule cytokinin pools in mammals,,
OA(可免费),10.1080/21670811.2026.2686381,Who Checks the Fact-Checkers? Studying the Work of External Assessors Behind Fac,,
OA(可免费),10.1080/23311983.2026.2697670,An ecophenomenological dendrochronology: Shlain’s <i>Dendrofemonology</i> throug,,
OA(可免费),10.1080/27694127.2026.2687045,Seeing is believing: visualizing spatiotemporal lipophagic flux in vivo with the,,
OA(可免费),10.1088/1741-4326/ae78e5,Summary of the theory and modelling contributions at the 30th IAEA Fusion Energy,,
OA(可免费),10.1088/2976-601x/ae7a76,Characterization of plastic contamination entering food waste management and imp,,
OA(可免费),10.1091/mbc.e26-03-0116,A spatial and temporal atlas of tubulin isotype gene expression during vertebrat,,
OA(可免费),10.1093/eep/dvag024,Silent Regulators of Trauma: The microRNA Blueprint Underlying Post-traumatic St,,
OA(可免费),10.1093/femsyr/foag024,Overexpression of the MAPK Transcription Factor Gene <i>MSS11</i> Enhances Ethan,,
OA(可免费),10.1093/glycob/cwag044,Mapping ST3GAL Transferase Specificities in the Glycosylation Landscape of N/TER,,
OA(可免费),10.1093/hr/uhag354,The BpZAT10-BpWRKY31 module enhances the drought tolerance and herbivore resista,,
OA(可免费),10.1093/ijfood/vvag178,"Thermal, Structural, and Functional Interactions of Date Seed Powder-Sucrose Com",,
OA(可免费),10.1093/insilicoplants/diag022,Secondary Growth and Exodermal Barriers Shape Local Root Hydraulics: Modeling In,,
OA(可免费),10.1093/jbmrpl/ziag142,Inhibition of EED Enhances osteogenic differentiation and Bone Formation: A Pote,,
OA(可免费),10.1093/jeb/voag053,"Plant hormone manipulation impacts salt spray tolerance, which preempts herbivor",,
OA(可免费),10.1093/jhered/esag035,A Chromosome-Level Assembly of the Pine Processionary Moth (Thaumetopoea pityoca,,
OA(可免费),10.1093/jxb/erag375,Emerging applications of single cell and spatial transcriptomics under abiotic s,,
OA(可免费),10.1093/jxb/erag406,Reframing Pathogenesis-Related proteins: from plant immune drivers to stress res,,
OA(可免费),10.1093/jxb/erag408,Positive pressure does not efficiently repair xylem embolism after drought,,
OA(可免费),10.1093/nargab/lqag084,Predictive models of the genetic bases underlying budding yeast fitness in multi,,
OA(可免费),10.1093/plphys/kiag358,Far-red perception by vegetative organs and not fruits drives fruit growth respo,,
OA(可免费),10.1093/pnasnexus/pgag270,Measuring narrative polarization in online discourse,,
OA(可免费),10.1097/hep.0000000000001808,H4K12 lactylation drives TREM2 high macrophages differentiation in liver fibrosi,,
OA(可免费),10.1097/js9.0000000000005405,Comprehensive multi-omics and single-cell analysis reveals a ferroptosis signatu,,
OA(可免费),10.1097/md.0000000000049943,"TACC3, correlated with immune cell infiltrates, is a novel prognostic biomarker",,
OA(可免费),10.1097/ms9.0000000000005221,CRISPR-based epigenetic modulation of endothelial dysfunction in sepsis-induced,,
OA(可免费),10.1098/rsos.252196,Immune suppression and metabolic reprogramming in <i>Bactrocera dorsalis</i> par,,
OA(可免费),10.1099/ijsem.0.007187,"Legionella stuttgartensis sp. nov. and Legionella nigrisilvae sp. nov., two new",,
OA(可免费),10.1108/qmr-10-2025-0223,Buyer–seller relationships in live shopping marketplaces,,
OA(可免费),10.1111/iej.70190,Association Between the Root Canal Microbiome and Apical Lesion Size: An Observa,,
OA(可免费),10.1111/jipb.70300,A CLE–RLK–LBD signaling module promotes <i>de novo</i> shoot regeneration in pla,,
OA(可免费),10.1111/jipb.70313,Genome editing precisely boosts salt‐tolerant <i>japonica</i> rice yield,,
OA(可免费),10.1111/mec.70394,Contrasting Genomic Signatures of Climate Adaptation and Adaptive Plasticity Acr,,
OA(可免费),10.1111/nph.71228,COCHLEATA controls spatial regulation of cytokinin and auxin during nodule devel,,
OA(可免费),10.1111/nph.71323,Organized peripheral vascular strand development in nodules is controlled by a <,,
OA(可免费),10.1111/pce.70676,Knockout of <i>TaCKX2.2</i> in Wheat Improved Grain Yield by Increasing Grain Nu,,
OA(可免费),10.1111/pce.70752,"Trichomes in Plant Defence, Development and Metabolic Integration Under Environm",,
OA(可免费),10.1126/sciadv.adw9707,Single-cell and high-resolution spatial profiling of podocytopathies reveals cor,,
OA(可免费),10.1126/sciadv.ady7139,Decoupled carbon assimilation and growth responses to aridity in temperate decid,,
OA(可免费),10.1126/sciadv.adz6836,Synaptic vesicles that store monoamines and glutamate differ in protein composit,,
OA(可免费),10.1126/sciadv.aeb0060,Single-cell chromatin state transitions during epigenetic memory formation,,
OA(可免费),10.1126/sciadv.aec2424,Dose-dependent hormone actions at estrogen receptor enhancers specify distinct m,,
OA(可免费),10.1126/sciadv.aec7965,Scalable multiplexed machine learning gas sensor chips for food classification,,
OA(可免费),10.1126/sciadv.aed0666,Ultrasound priming gated by solid tumor hallmarks to guide CAR-T therapy,,
OA(可免费),10.1126/sciadv.aee2172,Natural variation in <i>PtoCPK3</i> governs drought tolerance by orchestrating x,,
OA(可免费),10.1126/sciadv.aeg2614,Life-span–dependent transcriptional dynamics of the human heart,,
OA(可免费),10.1126/sciimmunol.ady8948,Atlas of human gut-associated lymphoid tissue reveals immunomodulatory interacti,,
OA(可免费),10.1128/aem.00094-26,Optimizing rhamnolipid biosynthesis: evaluating predictive methods using <i>Pseu,,
OA(可免费),10.1128/aem.02535-25,"Characterization and therapeutic potential of DepZ57, a stable depolymerase targ",,
OA(可免费),10.1128/jb.00373-25,Integrating multi-omics data with network modeling to characterize <i>Pseudomona,,
OA(可免费),10.1128/jvi.00376-26,DNA damage responses in HCMV infection: emerging mechanisms and outstanding ques,,
OA(可免费),10.1128/mbio.00661-26,An epigenetic mechanism of azole tolerance facilitates acquired antifungal resis,,
