title,doi,pmid,pmcid,pdf_url
Combined 分析 of the Metabolome and Transcriptome Identified Candidate Genes 参与的 in Phenolic Acid 生物合成 in the Leaves of Cy,10.3390/ijms21041337,,PMC7073005,
比较 transcriptome 分析 揭示 the multiple levels of crosstalk in phytohormone networks in Brassica napus,10.1111/pbi.14063,,PMC10363766,
全面 解析 of variation and 积累 of free amino acids in tea accessions,10.1093/hr/uhad263,,PMC10833077,
CsMYB73 negatively 调控 茶氨酸 积累 介导的 by CsGGT2 and CsGGT4 in tea shoots (Camellia sinensis,10.1093/hr/uhae012,,PMC10923645,
SlSEC1- and SlSPY-mediated O-glycosylation stabilizes the transcription factor S,10.1093/plcell/koag144,,PMC13274654,
Barley HvBODYGUARD1 controls cuticular specialisations regulated by SHINE transc,10.1111/nph.71287,,PMC13326517,
Endogenous RALF peptide function is required for powdery mildew host colonizatio,10.1111/nph.71282,42203759,,https://doi.org/10.1111/nph.71282
Copper-sensitive OsSPL9 TF regulates expression of indica rice domestication-ass,10.1038/s42003-026-10325-6,42203863,PMC13222354,https://www.nature.com/articles/s42003-026-10325-6_reference.pdf
Genomic and population analyses reveal asymmetric subgenome evolution and local,10.1038/s42003-026-10373-y,42204246,,https://doi.org/10.1038/s42003-026-10373-y
Endophyte Bacillus sp. RE35 Enhances Cd Trap in Rice Roots Via Root Cell Wall Re,10.1111/pce.70640,42204378,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13436543/
A Plasmodiophora Brassicae Effector PbCBM1 Promotes Clubroot Susceptibility by C,10.1111/pce.70638,42204415,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13353558/
Effects of bio-slurry and chemical fertilizer on soil fertility and productivity,10.1186/s12870-026-09092-7,42204458,,https://doi.org/10.1186/s12870-026-09092-7
Enhancing the selection of drought tolerance varieties of rice (Oryza sativa) us,10.1186/s12870-026-09055-y,42204459,,https://doi.org/10.1186/s12870-026-09055-y
Integrated multi-omics analysis reveals a lipid-redox regulatory network underly,10.1186/s12870-026-09098-1,42204464,,https://doi.org/10.1186/s12870-026-09098-1
"Integrated transcriptomic, metabolomic, and physiological analyses underlying di",10.1186/s12870-026-09109-1,42204669,,https://doi.org/10.1186/s12870-026-09109-1
Metabolomics reveals McF6'H1-mediated regulation of phenylpropanoid/flavonoid me,10.1186/s12870-026-09089-2,42204672,,https://doi.org/10.1186/s12870-026-09089-2
Genome-wide association study reveals stable loci and candidate genes for cotton,10.1007/s00122-026-05261-2,,PMC13219082,
"解析 of the spatial dynamics of 生物合成, transport, and turnover of major amino acids in tea plants (Camellia sinensis",10.1093/hr/uhae060,,PMC11070726,
High-resolution spatiotemporal transcriptome mapping of tomato fruit development and ripening,10.1038/s41467-017-02782-9,,PMC5785480,
DeMaSk: a deep mutational scanning substitution matrix and its use for variant impact prediction,10.1093/bioinformatics/btaa1030,,PMC8016454,
Hormone Regulation Effect of Blue Light on Soybean Stem Internode Growth Based on the Grey Correlation Analysis Model,10.3390/ijms26094411,,PMC12072184,
Ethylene-responsive VviERF003 调节 glycosylated monoterpenoid synthesis by upregulating VviGT14 in grapes,10.1093/hr/uhae065,,PMC11059816,
Full-length transcriptome 测序 提供了 深入 into the 进化 of apocarotenoid 生物合成 in Crocus sativus,10.1016/j.csbj.2020.03.022,,PMC7132054,
"Genetic, transcriptional, and regulatory 全景 of monolignol 生物合成 途径 in Miscanthus × giganteus",10.1186/s13068-020-01819-4,,PMC7590476,
Gibberellin 生物合成 is required for CPPU-induced parthenocarpy in melon,10.1093/hr/uhad084,,PMC10266944,
整合 Metabolomic and Transcriptomic 分析 揭示 the 类黄酮 Regulatory 网络 by Eutrema EsMYB90,10.3390/ijms22168751,,PMC8395869,
整合 omics networks 揭示 the temporal signaling events of brassinosteroid 响应 in Arabidopsis,10.1038/s41467-021-26165-3,,PMC8494934,
整合 of metabolomics and transcriptomics 揭示 the 调控 机制 of the 苯丙烷 生物合成 途径 in insect resistance traits in Solanum habrochait,10.1093/hr/uhad277,,PMC10857935,
"LaMYC7, a positive regulator of linalool and caryophyllene 生物合成, confers plant resistance to Pseudomonas syringae",10.1093/hr/uhae044,,PMC11017519,
MaMADS1–MaNAC083 transcriptional regulatory cascade 调控 ethylene 生物合成 过程中 banana fruit ripening,10.1093/hr/uhad177,,PMC10585711,
MdSnRK1.1 interacts with MdGLK1 to regulate abscisic acid-介导的 chlorophyll 积累 in apple,10.1093/hr/uhad288,,PMC10873579,
Metabolome and transcriptome 分析 of flavor components and 类黄酮 生物合成 in fig female flower tissues (Ficus carica L.) after b,10.1186/s12870-021-03169-1,,PMC8386004,
miR156b-targeted VvSBP8/13 functions downstream of the abscisic acid signal to regulate anthocyanins 生物合成 in grapevine f,10.1093/hr/uhad293,,PMC10873574,
Morus alba L. Leaves – 整合 of Their Transcriptome and Metabolomics Dataset: Investigating Potential Genes 参与的 in 类黄酮 生物合成,10.3389/fpls.2021.736332,,PMC8637763,
<scp>MITF</scp> Gain‐of‐Function Mutation in Metastatic Prostate Cancer: A Rare Finding With Potential Therapeutic Signi,10.1002/cnr2.70588,,PMC13238700,
Lentiviral GLP-1 gene therapy elicits developmental stage–dependent β-cell regeneration in diabetic rats,10.1007/s00109-026-02690-w,,PMC13260127,
Effect of different carbon allotropes for electrochemical glucose detection,10.1007/s00216-026-06595-y,42250138,,https://link.springer.com/content/pdf/10.1007/s00216-026-06595-y.pdf
In-source freezing of Trifolium repens leaf tissue to increase spatial resolution and quench stress responses during IR-,10.1007/s00216-026-06710-z,42547592,,https://link.springer.com/content/pdf/10.1007/s00216-026-06710-z.pdf
GABA production by Streptococcus thermophilus St 8.1 and transcriptional regulation of the GABA biosynthesis key genes,10.1007/s00217-026-05178-6,,,https://link.springer.com/content/pdf/10.1007/s00217-026-05178-6.pdf
"Impact of fruit development, methyl jasmonate treatment, and soil physicochemical factors on targeted functional metabol",10.1007/s00217-026-05186-6,,,https://link.springer.com/content/pdf/10.1007/s00217-026-05186-6.pdf
Contribution of wood fibers to stem expansion in black locust,10.1007/s00226-026-01791-6,,,https://link.springer.com/content/pdf/10.1007/s00226-026-01791-6.pdf
An ethogram for the whale shark (Rhincodon typus) with insights into foraging plasticity,10.1007/s00227-026-04900-y,,,https://link.springer.com/content/pdf/10.1007/s00227-026-04900-y.pdf
Emission Dynamics of Constitutive and Herbivore-induced Plant Volatiles from Norway Maple (Acer platanoides) Trunk Infes,10.1007/s10886-026-01718-2,,PMC13194219,
Synergistic Effects of Acetic Acid and Ethanol on Offspring Production and Gallery Expansion by Fungus-Farming Ambrosia ,10.1007/s10886-026-01725-3,,PMC13222262,
"Worldwide diversity and ecology of mangrove fungi: a systematic review of ITS metabarcoding studies and a quantitative, ",10.1007/s11274-026-05065-y,,PMC13264588,
Untargeted Metabolomics Reveals Major Patterns of Metabolic Shifts in Potato Seed Tubers during Storage,10.1007/s11540-026-10083-2,,PMC13241448,
Determination of the Insecticidal Activities of Beauveria bassiana (Ascomycota: Hypocreales) Secondary Metabolites on De,10.1007/s11686-026-01318-w,,PMC13246936,
Next-Generation Hepatocyte Expansion: Bridging Molecular Reprogramming with Multicellular Organoids for Clinical Transla,10.1007/s12015-026-11172-y,42301605,,https://link.springer.com/content/pdf/10.1007/s12015-026-11172-y.pdf
Dysregulated circRNA Expression in Juvenile Myoclonic Epilepsy,10.1007/s12017-026-08928-7,42250182,PMC13242382,https://link.springer.com/content/pdf/10.1007/s12017-026-08928-7.pdf
Stem Water Storage Dynamics in Amazonian Palms and Dicotyledonous Trees,10.1007/s12042-026-09478-9,,PMC13197269,
A systematic scoping review of the molecular pathogenesis of digestive system cancers (2013–2025),10.1007/s12672-026-05374-6,42319629,,https://doi.org/10.1007/s12672-026-05374-6
Hypomethylation of FAM83A in lung adenocarcinoma mirrors an epigenetic signature of airway cell differentiation states,10.1007/s12672-026-05380-8,42251611,,https://doi.org/10.1007/s12672-026-05380-8
Integrative multi-omics identifies a glycosylation-based prognostic framework and nominates ALG3 for targeted therapy in,10.1007/s12672-026-05387-1,,PMC13309580,
The Ghrelin-LEAP2 System in Obesity and Diabetes: Pathophysiological Roles and Therapeutic Potential,10.1007/s13679-026-00728-1,,PMC13260137,
Triboelectric Nanogenerators in Military: Recent Progress and Critical Challenges,10.1007/s40820-026-02221-9,,PMC13234093,
Composite materials for interfacial engineering of organic solar cells,10.1016/j.adna.2026.03.003,,,https://doi.org/10.1016/j.adna.2026.03.003
Dosimetric and Clinical Impact of Bone Marrow-sparing Radiation Therapy for Anal Cancer: A Systematic Review.,10.1016/j.adro.2026.102125,42571204,,https://doi.org/10.1016/j.adro.2026.102125
Ergonomic enhancement of a light-guided vocal fold injection device: Addressing usability limitations through usability ,10.1016/j.apergo.2026.104859,42503265,,https://www.sciencedirect.com/science/article/pii/S0003687026001377/pdf
"Pan-cancer expression, methylation, and prognostic significance of α7 nicotinic acetylcholine receptor in tumor immunolo",10.1016/j.bbrep.2026.102649,42292701,,https://doi.org/10.1016/j.bbrep.2026.102649
Vibrio parahaemolyticusAHPND infection altered eicosanoid biosynthesis in the gastrointestinal tract of Litopenaeus vann,10.1016/j.bbrep.2026.102721,42540383,,https://www.sciencedirect.com/science/article/pii/S2405580826002815/pdf
Intelligent plant exosomes synergize miRNAs and cisplatin for spatiotemporally precise multimodal treatment for TNBC wit,10.1016/j.bioactmat.2026.02.013,,PMC13099513,
Accelerated robust spatial Branch-and-Bound algorithm via multi-parametric programming: Application to pooling problems,10.1016/j.compchemeng.2026.109746,,,https://doi.org/10.1016/j.compchemeng.2026.109746
Unbiased CRISPR synthetic lethal screening for genetic vulnerabilities in a succinate dehydrogenase-loss model of paraga,10.1016/j.isci.2026.115885,,PMC13194163,
"Biological functions, synthetic biology strategies, and application prospects of ganoderic acid in the food industry: a ",10.1016/j.jfutfo.2024.11.024,,,https://doi.org/10.1016/j.jfutfo.2024.11.024
Enhanced gel properties of silver carp (Hypophthalmichthys molitrix) surimi through hydroxycinnamic acid-mediated intera,10.1016/j.jfutfo.2025.01.016,,,https://doi.org/10.1016/j.jfutfo.2025.01.016
Unlocking raw-corncob consolidated bioprocessing for malic acid production by DyP-enabled lignin deconstruction in Mycel,10.1016/j.synbio.2026.07.011,42604004,,https://www.sciencedirect.com/science/article/pii/S2405805X26001869/pdf
Solution Blow Spinning of Programmable Biofunctionalized Polymer Fibers,10.1021/acsapm.6c01102,,,https://pubs.acs.org/doi/pdf/10.1021/acsapm.6c01102?ref=article_openPDF
Integrating host-microbiota metabolic networks: how aromatic amino acids shape immune homeostasis and affect disease pro,10.1038/s41423-026-01435-6,,PMC13315882,
Neural Response to Familiar Names Predicts Outcome of Comatose ICU Patients: A Prospective Observational Cohort Study,10.1038/s41467-026-73878-4,42236468,,https://www.nature.com/articles/s41467-026-73878-4_reference.pdf
Foliar spraying of Bradyrhizobium and Anabaena improve stress tolerance under deficit irrigation of Cowpea,10.1038/s41598-026-54968-1,,PMC13241503,
"Effects of nitrogen top-dressing treatments and development stages on morphological, colorimetric and biochemical charac",10.1038/s41598-026-57239-1,42252317,,https://www.nature.com/articles/s41598-026-57239-1_reference.pdf
Combined application of hot water and salicylic acid treatment preserves postharvest quality of mangoes,10.1038/s41598-026-57333-4,42252351,,https://www.nature.com/articles/s41598-026-57333-4_reference.pdf
Pan-cancer multi-omic integration of Trop2 reveals biological determinants and translational implications for ADC therap,10.1038/s41698-026-01523-w,,PMC13269767,
Plant defence priming and memory mechanisms under climate change,10.1042/ebc20250050,42483965,,https://doi.org/10.1042/ebc20250050
"Efficacy of atopic dermatitis alleviation through transcutaneous auricular vagus nerve stimulation in 2,4-dinitrochlorob",10.1080/07853890.2026.2680845,,PMC13250867,
Lidocaine enhances antitumor effects of sorafenib and GW5074 in colorectal cancer cells,10.1080/14756366.2026.2678755,,PMC13248503,
Seeing is believing: visualizing spatiotemporal lipophagic flux in vivo with the tfLiveDrop reporter mice,10.1080/27694127.2026.2687045,,PMC13274137,
Overexpression of the MAPK Transcription Factor Gene <i>MSS11</i> Enhances Ethanol Biosynthesis in <i>Saccharomyces cere,10.1093/femsyr/foag024,42228157,,https://doi.org/10.1093/femsyr/foag024
Decoding Calcium Signaling: Functional Roles of Calmodulin and Calmodulin‑Like Proteins in Plant Development and Stress ,10.1111/pce.70802,42566250,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/pce.70802
Multi‐Omics Dissection Reveals the Central Regulator NtHY5 Rewires Primary and Secondary Metabolism to Strengthen Biotic,10.1111/pce.70809,42587428,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/pce.70809
Scalable multiplexed machine learning gas sensor chips for food classification,10.1126/sciadv.aec7965,,PMC13274616,
Proteomics in myelodysplastic syndromes: towards novel prognostic and diagnostic biomarkers,10.11613/bm.2026.020504,,PMC13262759,
Exploring the bioactive potential of green synthesized silver nanoparticles coated serratiopeptidase and chalcone deriva,10.1186/s11671-026-04683-7,,PMC13263362,
Gene set enrichment analysis of curated monogenic loci highlights key pathways and multisystem involvement in male infer,10.1186/s12610-026-00316-2,42271209,,https://link.springer.com/content/pdf/10.1186/s12610-026-00316-2.pdf
Integrative multi-omics analysis identifies GNAZ and SLC5A4 as critical regulators of gestation length in Large White pi,10.1186/s12711-026-01058-5,42271216,,https://doi.org/10.1186/s12711-026-01058-5
Integrative co-application of citric acid and halotolerant/halophilic citrate-utilizing PGPR enhances leaf ionic homeost,10.1186/s12870-026-09150-0,,PMC13237970,
Inverse relationship between neoantigen clonality and T-cell activity reveals distinct immune phenotypes in HNSCC,10.1186/s12967-026-08371-z,,PMC13235206,
B-vitamin-associated miRNAs are enriched in pathways related to cell proliferation - insights from the general populatio,10.1186/s12986-026-01177-2,42487134,,https://link.springer.com/content/pdf/10.1186/s12986-026-01177-2.pdf
Ferroptosis and chemotherapy resistance in ovarian cancer: molecular mechanisms and therapeutic opportunities,10.1186/s13048-026-02150-6,,PMC13281579,
A single-donor proof-of-concept single-cell analysis maps heterogeneous differentiation trajectories toward cartilage-li,10.1186/s13287-026-05223-x,42587306,,https://link.springer.com/content/pdf/10.1186/s13287-026-05223-x.pdf
"Functional and transcriptomic insights into 46,XY disorders of sex development associated with NR5A1 gene variants",10.1186/s13293-026-00939-0,42260572,,https://doi.org/10.1186/s13293-026-00939-0
Unveiling a unique microglial phenotype promoting oxidation in the iBRB: insights from single-cell transcriptomics in th,10.1186/s13578-026-01613-z,42321944,,https://doi.org/10.1186/s13578-026-01613-z
Investigating the versatility of cytochalasan cytochrome P450 monooxygenases using combinatorial biosynthesis reveals st,10.1186/s40694-026-00214-2,,PMC13281438,
Epigenetic insights into cottonseed oil biosynthesis: strategies for crop enhancement,10.1186/s42397-026-00265-1,,,https://link.springer.com/content/pdf/10.1186/s42397-026-00265-1.pdf
Prolific post-fire persistence: resilience and resprouting in the iconic coast redwood,10.1186/s42408-026-00564-7,,,https://doi.org/10.1186/s42408-026-00564-7
Progress in multi-omics and molecular breeding of Chrysanthemum,10.1360/csb-2026-0468,,,https://www.sciengine.com/doi/pdf/CF3490ACEA7745BF840F02DC52A38355
A microRNA atlas of CD4+ T cell subsets in experimental autoimmune encephalomyelitis identifies regulators of disease pa,10.1371/journal.pbio.3003271,42574482,,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.3003271&type=printable
"Pathogenesis of Eosinophilic Esophagitis: A PRISMA-based systematic review of Genetic, Immunological and Molecular Drive",10.14309/ctg.0000000000001052,42235936,,https://doi.org/10.14309/ctg.0000000000001052
Resetting the narrative: Strategic messaging around tuition reductions at U.S. private not-for-profit colleges,10.14507/epaa.34.9681,,,https://epaa.asu.edu/index.php/epaa/article/download/9681/3688
Incretin-based therapies: a new era in metabolic liver disease management,10.20517/2394-5079.2026.15,,,https://f.oaes.cc/xmlpdf/published/article/55f0e7ddab565697b77ddcdd2d9625c8/hr12015.pdf
Emerging roles and mechanisms of small nucleolar RNA in cardiovascular diseases: research progress,10.20517/2574-1209.2025.145,,,https://f.oaes.cc/xmlpdf/published/article/93eb2e6a1d50614418019415f6fbd955/vp50145.pdf
"A combined DFT and machine learning investigation of structural, mechanical, and thermal behavior in magnesium oxide",10.30574/gscarr.2026.27.3.0127,,,https://gscarr.gsconlinepress.com/sites/default/files/fulltext_pdf/GSCARR-2026-0127.pdf
"Effects of ethanol leaf fractions of Sida acuta and Ficus exasperata, alone and in combination, on lipid profile in allo",10.30574/gscbps.2026.35.3.0203,,,https://gscbps.gsconlinepress.com/sites/default/files/fulltext_pdf/GSCBPS-2026-0203.pdf
The transcriptional kinases CDK8/19 in the regulation of the macrophage inflammatory response,10.32607/actanaturae.27815,42499677,,https://actanaturae.ru/2075-8251/article/download/27815/1853
"The forgotten billion: bridging the global allergy care chasm through scalable, equity-driven strategies",10.3389/falgy.2026.1823900,42358590,,https://www.frontiersin.org/journals/allergy/articles/10.3389/falgy.2026.1823900/pdf
The gut microbiome in colorectal cancer: molecular paradigms and translational frontiers,10.3389/fbioe.2026.1864299,,PMC13314788,
Lipedema as a disorder of adipose tissue heterogeneity: insights from single-cell and spatial transcriptomics,10.3389/fcell.2026.1809914,,PMC13319045,
MCM8 variants in two patients with primary ovarian insufficiency: clinical findings and in vitro defective DNA repair re,10.3389/fendo.2026.1807887,,PMC13318747,
Acute glucose stimulation drives coordinated translational reprogramming in primary pancreatic islets: from global remod,10.3389/fendo.2026.1834362,42395177,,https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2026.1834362/pdf
miR-30d-5p promotes beta cell recovery and immunomodulation in type 1 diabetes,10.3389/fendo.2026.1838666,42375328,PMC13311865,https://doi.org/10.3389/fendo.2026.1838666
Hydrogen peroxide as a multifaceted regulator of the Atg4 protease and autophagy in the pathogenic fungus Alternaria alt,10.3389/ffunb.2026.1881957,42558946,,https://www.frontiersin.org/journals/fungal-biology/articles/10.3389/ffunb.2026.1881957/pdf
Inflammation-associated brain functional network topological disruption in female nurses with SWSD: associations with sy,10.3389/fimmu.2026.1724276,,PMC13269080,
Recent advances in characterizing the immune microenvironment and biomarkers of endometrial carcinoma,10.3389/fimmu.2026.1779211,,PMC13260069,
"Post-translational modification networks as master regulators of influenza virus replication, host adaptation, and immun",10.3389/fimmu.2026.1816377,,PMC13322947,
Swimming ameliorates intervertebral disc degeneration accompanied by Rpl23a downregulation and changes in its immune-inf,10.3389/fimmu.2026.1819987,42311670,,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2026.1819987/pdf
Beyond hepatitis C: clinical spectrum and demographic characteristics of anti-rods and rings antibodies in a large ANA-p,10.3389/fimmu.2026.1831506,,PMC13272418,
Soluble multi−epitope protein vaccination leverages antigen availability to drive CD8+ T cell immunity and tumor control,10.3389/fimmu.2026.1840895,,PMC13290799,
Deciphering immune-inflammatory dysregulation in the endometriotic microenvironment: insights from single-cell omics and,10.3389/fimmu.2026.1848643,,PMC13293860,
Altered GABA and secondary bile acids in Guillain-Barré syndrome: association with gut dysbiosis,10.3389/fimmu.2026.1849216,,PMC13290612,
Microglia-vascular interactions after spinal cord injury: regulatory mechanisms and therapeutic advances,10.3389/fimmu.2026.1856481,,PMC13268918,
Lactate and lactylation in sepsis: regulation of immune-metabolic crosstalk and organ injury,10.3389/fimmu.2026.1900179,42592257,,https://doi.org/10.3389/fimmu.2026.1900179
"Odorant degrading enzyme candidates enriched in the antennae of the white-spotted flower chafer, Protaetia brevitarsis",10.3389/finsc.2026.1843786,,PMC13272398,
"Pyroptosis-immunity-microbiome axis in acute upper gastrointestinal bleeding: mechanisms, risk prediction, and individua",10.3389/fmed.2026.1780566,,PMC13265357,
Current status and prospects of nanopore sequencing technology in the detection of pathogenic microorganisms,10.3389/fmicb.2026.1843102,42369554,,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2026.1843102/pdf
Sugarcane smut fungus hijacks the host meristem: phytohormone-mediated sorus morphogenesis and metabolic reprogramming,10.3389/fmicb.2026.1847172,42369555,,https://doi.org/10.3389/fmicb.2026.1847172
Uncovering yield-related traits loci in Chinese wheat landraces using GWAS,10.3389/fpls.2026.1838087,,PMC13311083,
Genome-wide association study on soybean canopy wilting under drought stress conditions in a rainout-shelter greenhouse,10.3389/fpls.2026.1840313,,PMC13287008,
Integrating stress responses and secondary metabolism: the regulatory functions of histone deacetylases in medicinal pla,10.3389/fpls.2026.1845669,,PMC13253510,
Drying-Induced Changes in Metabolite Profiles and Antioxidant Activity of Cordyceps militaris: Insights from Integrated ,10.3390/foods15122061,,PMC13298478,
"Metainflammation, Mitochondrial Dysfunction, and Organokine Crosstalk: A Central Axis Linking Metabolic Syndrome to Card",10.3390/ijms27156554,42589212,,https://www.mdpi.com/1422-0067/27/15/6554/pdf?version=1784797954
Combined Short-Chain Fatty Acids Induce an Anti-Inflammatory and Anti-Chemotactic Secretory Profile from 3T3-L1 Adipocyt,10.3390/ijms27156583,42589244,,https://www.mdpi.com/1422-0067/27/15/6583/pdf?version=1784878943
Comparative Structural Modeling Suggests Distinct Signatures of Conformational Plasticity and Surface Physicochemistry i,10.3390/molecules31121995,,PMC13304436,
Green Leaf Volatile Profiling Reveals Ripening-Stage- and Tissue-Specific Patterns in Rosaceae Berries,10.3390/plants15111639,,PMC13258824,
The Kelch-Repeat Superfamily Gene SiNL4 Regulates the Leaf Width in Foxtail Millet,10.3390/plants15121826,42357145,,https://www.mdpi.com/2223-7747/15/12/1826/pdf?version=1781271747
Enhanced Yield of GmJAG1-Edited Soybeans Accompanied by Improved Function of the Rhizosphere Microbiome,10.3390/plants15121828,42357147,,https://www.mdpi.com/2223-7747/15/12/1828/pdf?version=1781273196
USING PLANT TISSUE CULTURE TECHNIQUE TO EVALUATE FOUR GENOTYPES OF MAIZE TO SALINITY TOLERANCE,10.36103/ykkh6v73,,,https://jcoagri.uobaghdad.edu.iq/index.php/intro/article/download/2591/2638
Lactate‑to‑albumin ratio as an independent predictor of short‑ and long‑term mortality in ICU patients with malignant tu,10.3892/ol.2026.15700,,PMC13294798,
In vitro propagation of Alhagi maurorum (Fabaceae),10.46309/biodicon.2026.1853170,,,https://dergipark.org.tr/en/download/article-file/5557246
Some anatomical and palynological characteristics of Onobrychis paucijuga Bornm. (Fabaceae),10.46309/biodicon.2026.1920583,,,https://dergipark.org.tr/en/download/article-file/5866937
Genetic and biological determinants of pulmonary embolism: Insights from Mendelian randomization studies,10.5493/wjem.v16.i2.121046,,PMC13323850,
CpG Atlas: A centralized multi-layer database and AI interface for DNA methylation research,10.64898/2026.05.30.729020,42282509,,https://www.biorxiv.org/content/biorxiv/early/2026/06/03/2026.05.30.729020.full.pdf
A tonoplast cytokinin riboside transporter gates intracellular hormone availability at the plant-microbe interface,10.64898/2026.05.31.727005,,,https://doi.org/10.64898/2026.05.31.727005
Astrocyte subtype-specific expression of the sodium-coupled citrate transporter SLC13A5 and citrate metabolism genes acr,10.64898/2026.06.05.730472,42327234,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13277888/
Hippocampal CA2 modulates trace fear conditioning through circuit-specific control of CA1,10.64898/2026.06.05.730478,42282772,,https://www.biorxiv.org/content/biorxiv/early/2026/06/07/2026.06.05.730478.full.pdf
An in vitro regeneration system with efficient rooting in sweet orange (Citrus sinensis) supports recovery of transgenic,10.64898/2026.06.16.732047,,,https://www.biorxiv.org/content/biorxiv/early/2026/06/18/2026.06.16.732047.full.pdf
Single-cell chromatin tracing reveals multimodal molecular programs during memory formation,10.64898/2026.06.16.732522,,,https://doi.org/10.64898/2026.06.16.732522
"Internet of Things-Based Smart Parking Systems: An Integrative Review of Architectures, Technologies and Deployment Chal",10.70882/josrar.2026.v3i3.271,,,https://josrar.esrgngr.org/index.php/josrar/article/download/271/159
,10.1093/hr/uhad258,38298899,PMC10828779,https://academic.oup.com/hr/advance-article-pdf/doi/10.1093/hr/uhad258/54400073/uhad258.pdf
Multifaceted roles of LhWRKY44 in promoting 花青素 积累 in Asiatic hybrid lilies (Lilium spp,10.1093/hr/uhad167,37779886,,https://academic.oup.com/hr/advance-article-pdf/doi/10.1093/hr/uhad167/51218844/uhad167.pdf
"Multiple mechanisms explain loss of anthocyanins from betalain‐pigmented Caryophyllales, including repeated wholesale lo",10.1111/nph.19341,,PMC10952170,
NF‐YC15 transcription factor 激活 ethylene 生物合成 and improves cassava disease resistance,10.1111/pbi.14355,,PMC11331790,
"Single-cell insights into plant growth, adaptation, and evolution.",10.1111/jipb.70272,42037106,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13446599/pdf/JIPB-68-2889.pdf
Temporospatial Flavonoids Metabolism Variation in Ginkgo biloba Leaves,10.3389/fgene.2020.589326,,PMC7728922,
The APETALA2–MYBL2 模块 抑制 原花青素 生物合成 by affecting formation of the MBW complex in seeds of Arabidopsis thaliana,10.1016/j.xplc.2023.100777,,PMC10943577,
The MYB transcription factor RcMYB1 plays a central 作用 in rose 花青素 生物合成,10.1093/hr/uhad080,,PMC10261888,
The Smi-miR858a-SmMYB 模块 调控 tanshinone and phenolic acid 生物合成 in Salvia miltiorrhiza,10.1093/hr/uhae047,,PMC11069429,
The SmNPR4-SmTGA5 模块 调控 SA-介导的 phenolic acid 生物合成 in Salvia miltiorrhiza hairy roots,10.1093/hr/uhad066,37249952,,https://academic.oup.com/hr/advance-article-pdf/doi/10.1093/hr/uhad066/49807473/uhad066.pdf
